CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
CUST-1326,19.0,Male,Premium,105.38,59,2,Electronic Check,7.0,24.4,No
CUST-3227,25.0,Male,Premium,70.0,69,1,Electronic Check,7.0,23.5,No
CUST-3481,52.0,Male,Premium,122.16,15,1,Electronic Check,6.0,29.0,No
CUST-2863,40.0,Male,Basic,61.01,32,4,Credit Card,4.0,26.8,Yes
CUST-1300,24.0,Female,Premium,121.96,62,6,Credit Card,2.0,29.0,Yes
CUST-2638,70.0,Male,Enterprise,129.04,43,10,Mailed Check,1.0,39.2,Yes
CUST-3375,63.0,Male,Basic,48.1,16,7,Bank Transfer,1.0,22.6,Yes
CUST-4357,39.0,Male,Premium,91.38,4,0,Credit Card,10.0,21.2,No
CUST-1140,51.0,Female,Premium,96.37,32,2,Electronic Check,4.0,22.0,Yes
CUST-2457,57.0,Male,Basic,45.08,72,6,Electronic Check,4.0,23.2,Yes
CUST-1565,39.0,Female,Basic,58.59,10,1,Credit Card,4.0,27.7,No
CUST-3412,37.0,Male,Basic,44.84,65,1,Credit Card,9.0,20.1,No
CUST-4018,41.0,Male,Enterprise,110.0,14,3,Credit Card,4.0,18.7,Yes
CUST-3535,31.0,Female,Enterprise,127.34,4,2,Bank Transfer,5.0,33.5,Yes
CUST-2770,59.0,Male,Enterprise,142.21,60,4,Credit Card,2.0,35.5,Yes
CUST-3811,66.0,Female,Enterprise,178.37,49,2,Bank Transfer,3.0,30.4,No
CUST-2489,24.0,Male,Premium,105.12,44,1,Bank Transfer,7.0,13.3,No
CUST-2026,22.0,Female,Enterprise,144.68,41,2,Credit Card,6.0,15.9,No
CUST-1756,29.0,Male,Basic,40.82,3,6,Bank Transfer,1.0,28.9,Yes
CUST-1898,64.0,Female,Enterprise,120.41,36,2,Mailed Check,8.0,20.1,No
CUST-3290,74.0,Female,Enterprise,130.73,57,1,Mailed Check,,23.1,No
CUST-4099,73.0,Male,Premium,82.76,72,2,Electronic Check,7.0,28.8,No
CUST-2238,43.0,Female,Enterprise,142.71,61,2,Credit Card,8.0,39.9,No
CUST-3462,22.0,Female,Enterprise,162.08,25,0,Mailed Check,10.0,10.9,No
CUST-2958,70.0,Male,Basic,52.25,33,4,Credit Card,,24.9,No
CUST-1496,42.0,Male,Enterprise,139.99,1,6,Electronic Check,3.0,22.7,Yes
CUST-1680,41.0,Female,Premium,111.86,11,2,Credit Card,8.0,36.0,No
CUST-2136,56.0,Male,Enterprise,133.8,48,2,Credit Card,5.0,29.5,No
CUST-3419,67.0,Male,Enterprise,154.53,54,0,Bank Transfer,8.0,26.6,No
CUST-4413,60.0,Female,Basic,57.82,45,1,Credit Card,10.0,27.4,No
CUST-1359,42.0,Male,Basic,51.2,11,2,Bank Transfer,5.0,36.3,Yes
CUST-1071,52.0,Male,Basic,47.38,52,6,Bank Transfer,3.0,35.4,Yes
CUST-2106,43.0,Female,Premium,96.87,67,2,Credit Card,6.0,27.5,No
CUST-1595,47.0,Male,Basic,69.81,17,4,Electronic Check,2.0,29.5,Yes
CUST-2223,62.0,Female,Basic,55.65,39,0,Mailed Check,10.0,8.9,No
CUST-1819,73.0,Female,Enterprise,151.1,15,6,Electronic Check,5.0,12.6,Yes
CUST-3067,70.0,Male,Basic,55.58,45,4,Credit Card,1.0,40.0,Yes
CUST-1545,26.0,Female,Basic,54.54,34,4,Electronic Check,7.0,28.6,No
CUST-1433,49.0,Female,Basic,43.67,43,1,Bank Transfer,1.0,29.4,Yes
CUST-2908,47.0,Female,Premium,91.52,65,1,Bank Transfer,7.0,23.3,No
CUST-1880,44.0,Male,Premium,125.24,2,3,Bank Transfer,5.0,25.8,Yes
CUST-2930,32.0,Male,Premium,83.99,3,2,Credit Card,7.0,43.7,No
CUST-2437,31.0,Female,Basic,54.83,70,9,Mailed Check,1.0,14.2,Yes
CUST-1813,20.0,Female,Basic,55.28,25,0,Credit Card,9.0,31.7,No
CUST-1212,50.0,Male,Enterprise,128.98,39,3,Bank Transfer,4.0,32.0,Yes
CUST-2732,66.0,Male,Basic,32.97,30,0,Bank Transfer,10.0,24.7,No
CUST-2403,25.0,Female,Premium,127.75,29,3,Mailed Check,7.0,24.1,No
CUST-2293,58.0,Male,Premium,90.89,50,1,Bank Transfer,3.0,17.8,No
CUST-1502,66.0,Male,Enterprise,146.17,53,3,Credit Card,8.0,24.9,Yes
CUST-3255,74.0,Female,Basic,54.91,25,4,Credit Card,6.0,26.7,Yes
CUST-2748,64.0,Male,,50.95,25,2,Credit Card,4.0,34.5,Yes
CUST-3460,72.0,Female,Premium,96.47,56,1,Bank Transfer,10.0,40.2,No
CUST-1658,27.0,Male,Enterprise,139.2,50,0,Bank Transfer,8.0,27.8,No
CUST-1651,52.0,Male,Premium,113.33,11,4,Credit Card,5.0,38.7,Yes
CUST-3938,72.0,Female,Premium,93.57,6,4,Bank Transfer,3.0,40.1,Yes
CUST-4079,35.0,Female,Basic,53.08,8,0,Mailed Check,9.0,39.4,No
CUST-3964,37.0,Male,Basic,25.72,32,0,Mailed Check,10.0,12.7,No
CUST-3577,69.0,Male,Enterprise,155.76,56,7,Credit Card,4.0,13.3,Yes
CUST-2259,19.0,Female,Basic,38.61,19,3,Bank Transfer,6.0,32.0,No
CUST-2540,19.0,Female,Premium,85.85,50,5,Mailed Check,1.0,28.0,Yes
CUST-2724,68.0,Male,Premium,97.76,40,0,Credit Card,10.0,28.5,No
CUST-2222,68.0,Male,Enterprise,132.74,40,0,Electronic Check,8.0,34.2,No
CUST-3474,56.0,Male,Premium,97.75,72,2,Credit Card,3.0,22.3,No
CUST-2926,65.0,Female,Basic,47.85,11,2,Credit Card,2.0,24.9,Yes
